time,u,x_true,c_true,y
1.3800000000000001,0.6973371888415736,0.08198960084859151,1.0,0.0901247730222882
1.3900000000000001,0.6969128669058411,0.08260494843658449,1.0,0.07029630527224494
1.4000000000000001,0.6964574501457377,0.08321925635505374,1.0,0.08549385570109504
1.41,0.6959710104768494,0.08383249454884442,1.0,0.0969039220916687
1.42,0.6954536247136387,0.08444463306477243,1.0,0.06836980071916016
1.43,0.6949053745573155,0.0850556420564213,1.0,0.08690198064174434
1.44,0.6943263465829348,0.08566549178892219,1.0,0.08826431973140643
1.45,0.6937166322257262,0.0862741526437162,1.0,0.0940923813614893
1.46,0.6930763277666547,0.08688159512329821,1.0,0.07451208801451739
1.47,0.6924055343172172,0.08748778985594156,1.0,0.0742832237250988
1.48,0.6917043578034752,0.08809270760040284,1.0,0.09331212325657182
1.49,0.6909729089493286,0.08869631925060592,1.0,0.09166616598293778
1.5,0.6902113032590307,0.08929859584030464,1.0,0.0918035243437634
1.51,0.6894196609989489,0.08989950854772337,1.0,0.09336399064269313
1.52,0.688598107178573,0.0904990287001746,1.0,0.08369878148438968
1.53,0.6877467715307748,0.09109712777865299,1.0,0.09341966475026303
1.54,0.6868657884913224,0.09169377742240511,1.0,0.09462450215539192
1.55,0.6859552971776502,0.09228894943347403,1.0,0.08514543525321035
1.56,0.6850154413668916,0.0928826157812182,1.0,0.11154036089266577
1.57,0.6840463694731741,0.09347474860680388,1.0,0.09821307781592176
1.58,0.6830482345241835,0.09406532022767025,1.0,0.08215228525564376
1.59,0.6820211941369991,0.09465430314196677,1.0,0.10121983922830506
1.6,0.6809654104932039,0.0952416700329618,1.0,0.08549485333068858
1.61,0.6798810503132742,0.09582739377342205,1.0,0.10369823981084657
1.62,0.6787682848302528,0.0964114474299619,1.0,0.10799740322003594
1.6300000000000001,0.6776272897627089,0.09699380426736219,1.0,0.08878698108384508
1.6400000000000001,0.6764582452869907,0.09757443775285754,1.0,0.10720819904530075
1.6500000000000001,0.6752613360087727,0.09815332156039168,1.0,0.10228113082975666
1.6600000000000001,0.6740367509339051,0.09873042957484006,1.0,0.10695103117478497
1.67,0.6727846834385671,0.09930573589619912,1.0,0.11827366572273859
1.68,0.6715053312387305,0.09987921484374149,1.0,0.09742533368371278
1.69,0.6701988963589384,0.10045084096013647,1.0,0.09291347931656158
1.7,0.6688655851004031,0.10102058901553528,1.0,0.09212544471928004
1.71,0.6675056080084284,0.10158843401162014,1.0,0.09343033116196575
1.72,0.6661191798391626,0.10215435118561694,1.0,0.1013833340914759
1.73,0.6647065195256855,0.10271831601427049,1.0,0.10612983576243692
1.74,0.6632678501434368,0.10328030421778191,1.0,0.1060472122110821
1.75,0.6618033988749895,0.10384029176370756,1.0,0.1121121242540678
1.76,0.6603133969741753,0.10439825487081884,1.0,0.10452827378959792
1.77,0.658798079729567,0.1049541700129222,1.0,0.11948951078449538
1.78,0.6572576864273239,0.10550801392263885,1.0,0.1028614455902593
1.79,0.6556924603134047,0.10605976359514353,1.0,0.13326145526103972
1.8,0.6541026485551579,0.1066093962918618,1.0,0.11286606976951186
1.81,0.6524885022022896,0.10715688954412508,1.0,0.09858531397996226
1.82,0.6508502761472208,0.10770222115678325,1.0,0.09699329617617213
1.83,0.6491882290848364,0.10824536921177369,1.0,0.11307009336420554
1.84,0.6475026234716348,0.10878631207164675,1.0,0.10655168421838825
1.85,0.6457937254842823,0.10932502838304674,1.0,0.11646503332396765
1.86,0.6440618049775814,0.10986149708014797,1.0,0.11459387332588342
1.87,0.6423071354418571,0.1103956973880454,1.0,0.10966740826147667
1.8800000000000001,0.6405299939597698,0.11092760882609921,1.0,0.10245967164541517
1.8900000000000001,0.6387306611625609,0.11145721121123288,1.0,0.09630873896437424
1.9000000000000001,0.6369094211857377,0.11198448466118421,1.0,0.107519335140514
1.9100000000000001,0.6350665616242048,0.11250940959770876,1.0,0.12107339754094348
1.92,0.6332023734868504,0.11303196674973526,1.0,0.1151729041910373
1.93,0.6313171511505913,0.11355213715647237,1.0,0.10109474936935249
1.94,0.629411192313889,0.11406990217046649,1.0,0.11580171142897831
1.95,0.627484797949738,0.11458524346060991,1.0,0.11843841725789828
1.96,0.6255382722581402,0.11509814301509905,1.0,0.10625956865308772
1.97,0.6235719226180669,0.1156085831443421,1.0,0.11714583420379737
1.98,0.6215860595389211,0.11611654648381582,1.0,0.11669863366827582
1.99,0.6195809966115038,0.11662201599687093,1.0,0.1051923130185647
2.0,0.6175570504584946,0.11712497497748556,1.0,0.12070284858096839
2.0100000000000002,0.6155145406844535,0.11762540705296656,1.0,0.1232332523166489
2.02,0.6134537898253513,0.11812329618659805,1.0,0.12895380861835082
2.0300000000000002,0.6113751232976375,0.1186186266802368,1.0,0.12915664720058584
2.04,0.6092788693468538,0.1191113831768542,1.0,0.1053346894972833
2.05,0.6071653589957994,0.11960155066302419,1.0,0.11022330026387296
2.06,0.6050349259922592,0.12008911447135696,1.0,0.12523946714344356
2.07,0.6028879067563013,0.12057406028287787,1.0,0.12571191979199997
2.08,0.6007246403271522,0.12105637412935129,1.0,0.12620685099241177
2.09,0.5985454683096584,0.12153604239554909,1.0,0.1600633573020963
2.1,0.5963507348203431,0.1220130518214632,1.0,0.12772195692839486
2.11,0.5941407864330666,0.12248738950446209,1.0,0.13384304590626808
2.12,0.5919159721242976,0.12295904290139069,1.0,0.1324990605363227
2.13,0.5896766432180065,0.1234279998306136,1.0,0.12994191234367158
2.14,0.5874231533301866,0.12389424847400099,1.0,0.12074155602759754
2.15,0.5851558583130145,0.12435777737885717,1.0,0.13194746958378983
2.16,0.5828751161986567,0.12481857545979133,1.0,0.11709032331441561
